10328 - [2024-04-12 11:42:59,684] : DEBUG -> Tam_entrada: 100000| T_execução: 0.4066133499145508 | Chamado pela 6 vez | Arquivo:D
6848 - [2024-04-12 11:43:00,166] : DEBUG -> Tam_entrada: 100000| T_execução: 0.35331130027770996 | Chamado pela 7 vez | Arquivo:D
15316 - [2024-04-12 11:43:00,644] : DEBUG -> Tam_entrada: 100000| T_execução: 0.34775447845458984 | Chamado pela 8 vez | Arquivo:D
10368 - [2024-04-12 11:43:01,116] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3382289409637451 | Chamado pela 9 vez | Arquivo:D
3772 - [2024-04-12 11:43:01,645] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3904430866241455 | Chamado pela 10 vez | Arquivo:D
16124 - [2024-04-12 11:43:02,176] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3967893123626709 | Chamado pela 11 vez | Arquivo:D
15596 - [2024-04-12 11:43:02,659] : DEBUG -> Tam_entrada: 100000| T_execução: 0.34340596199035645 | Chamado pela 12 vez | Arquivo:D
7152 - [2024-04-12 11:43:02,756] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 0 vez | Arquivo:O
13836 - [2024-04-12 11:43:02,849] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 1 vez | Arquivo:O
10268 - [2024-04-12 11:43:02,943] : DEBUG -> Tam_entrada: 100| T_execução: 0.0010001659393310547 | Chamado pela 2 vez | Arquivo:O
16388 - [2024-04-12 11:43:03,037] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 3 vez | Arquivo:O
15612 - [2024-04-12 11:43:03,139] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 4 vez | Arquivo:O
17968 - [2024-04-12 11:43:03,235] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 5 vez | Arquivo:O
9592 - [2024-04-12 11:43:03,342] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 6 vez | Arquivo:O
1980 - [2024-04-12 11:43:03,444] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 7 vez | Arquivo:O
6204 - [2024-04-12 11:43:03,548] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 8 vez | Arquivo:O
4152 - [2024-04-12 11:43:03,645] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 9 vez | Arquivo:O
2564 - [2024-04-12 11:43:03,739] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 10 vez | Arquivo:O
3828 - [2024-04-12 11:43:03,834] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 11 vez | Arquivo:O
4264 - [2024-04-12 11:43:03,930] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 12 vez | Arquivo:O
14568 - [2024-04-12 11:43:04,027] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0010266304016113281 | Chamado pela 0 vez | Arquivo:O
10332 - [2024-04-12 11:43:04,125] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0010266304016113281 | Chamado pela 1 vez | Arquivo:O
2684 - [2024-04-12 11:43:04,222] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0015010833740234375 | Chamado pela 2 vez | Arquivo:O
12536 - [2024-04-12 11:43:04,318] : DEBUG -> Tam_entrada: 1000| T_execução: 0.000997304916381836 | Chamado pela 3 vez | Arquivo:O
2052 - [2024-04-12 11:43:04,435] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009975433349609375 | Chamado pela 4 vez | Arquivo:O
7184 - [2024-04-12 11:43:04,531] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0015070438385009766 | Chamado pela 5 vez | Arquivo:O
17900 - [2024-04-12 11:43:04,627] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009970664978027344 | Chamado pela 6 vez | Arquivo:O
8680 - [2024-04-12 11:43:04,721] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0015096664428710938 | Chamado pela 7 vez | Arquivo:O
11044 - [2024-04-12 11:43:04,815] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009696483612060547 | Chamado pela 8 vez | Arquivo:O
7940 - [2024-04-12 11:43:04,907] : DEBUG -> Tam_entrada: 1000| T_execução: 0.00099945068359375 | Chamado pela 9 vez | Arquivo:O
3508 - [2024-04-12 11:43:05,006] : DEBUG -> Tam_entrada: 1000| T_execução: 0.000997304916381836 | Chamado pela 10 vez | Arquivo:O
18276 - [2024-04-12 11:43:05,099] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0010249614715576172 | Chamado pela 11 vez | Arquivo:O
8784 - [2024-04-12 11:43:05,195] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0 | Chamado pela 12 vez | Arquivo:O
7980 - [2024-04-12 11:43:05,307] : DEBUG -> Tam_entrada: 10000| T_execução: 0.015993595123291016 | Chamado pela 0 vez | Arquivo:O
4632 - [2024-04-12 11:43:05,424] : DEBUG -> Tam_entrada: 10000| T_execução: 0.015029668807983398 | Chamado pela 1 vez | Arquivo:O
7908 - [2024-04-12 11:43:05,545] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01562786102294922 | Chamado pela 2 vez | Arquivo:O
4188 - [2024-04-12 11:43:05,657] : DEBUG -> Tam_entrada: 10000| T_execução: 0.015017032623291016 | Chamado pela 3 vez | Arquivo:O
12276 - [2024-04-12 11:43:05,770] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01560664176940918 | Chamado pela 4 vez | Arquivo:O
1440 - [2024-04-12 11:43:05,888] : DEBUG -> Tam_entrada: 10000| T_execução: 0.016512632369995117 | Chamado pela 5 vez | Arquivo:O
17704 - [2024-04-12 11:43:05,998] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01452779769897461 | Chamado pela 6 vez | Arquivo:O
2696 - [2024-04-12 11:43:06,117] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01580667495727539 | Chamado pela 7 vez | Arquivo:O
144 - [2024-04-12 11:43:06,238] : DEBUG -> Tam_entrada: 10000| T_execução: 0.0191192626953125 | Chamado pela 8 vez | Arquivo:O
1340 - [2024-04-12 11:43:06,351] : DEBUG -> Tam_entrada: 10000| T_execução: 0.012508392333984375 | Chamado pela 9 vez | Arquivo:O
17980 - [2024-04-12 11:43:06,461] : DEBUG -> Tam_entrada: 10000| T_execução: 0.016031742095947266 | Chamado pela 10 vez | Arquivo:O
2680 - [2024-04-12 11:43:06,576] : DEBUG -> Tam_entrada: 10000| T_execução: 0.017220020294189453 | Chamado pela 11 vez | Arquivo:O
2688 - [2024-04-12 11:43:06,688] : DEBUG -> Tam_entrada: 10000| T_execução: 0.014997243881225586 | Chamado pela 12 vez | Arquivo:O
17924 - [2024-04-12 11:43:07,025] : DEBUG -> Tam_entrada: 100000| T_execução: 0.19746971130371094 | Chamado pela 0 vez | Arquivo:O
1908 - [2024-04-12 11:43:07,391] : DEBUG -> Tam_entrada: 100000| T_execução: 0.23211312294006348 | Chamado pela 1 vez | Arquivo:O
17136 - [2024-04-12 11:43:07,759] : DEBUG -> Tam_entrada: 100000| T_execução: 0.21468400955200195 | Chamado pela 2 vez | Arquivo:O
1520 - [2024-04-12 11:43:08,089] : DEBUG -> Tam_entrada: 100000| T_execução: 0.19811201095581055 | Chamado pela 3 vez | Arquivo:O
18384 - [2024-04-12 11:43:08,439] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2195596694946289 | Chamado pela 4 vez | Arquivo:O
8140 - [2024-04-12 11:43:08,800] : DEBUG -> Tam_entrada: 100000| T_execução: 0.23117542266845703 | Chamado pela 5 vez | Arquivo:O
16624 - [2024-04-12 11:43:09,149] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2173140048980713 | Chamado pela 6 vez | Arquivo:O
11100 - [2024-04-12 11:43:09,533] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2571713924407959 | Chamado pela 7 vez | Arquivo:O
17520 - [2024-04-12 11:43:09,865] : DEBUG -> Tam_entrada: 100000| T_execução: 0.20006442070007324 | Chamado pela 8 vez | Arquivo:O
17552 - [2024-04-12 11:43:10,221] : DEBUG -> Tam_entrada: 100000| T_execução: 0.22510743141174316 | Chamado pela 9 vez | Arquivo:O
12008 - [2024-04-12 11:43:10,567] : DEBUG -> Tam_entrada: 100000| T_execução: 0.21745896339416504 | Chamado pela 10 vez | Arquivo:O
18368 - [2024-04-12 11:43:10,907] : DEBUG -> Tam_entrada: 100000| T_execução: 0.20806121826171875 | Chamado pela 11 vez | Arquivo:O
18388 - [2024-04-12 11:43:11,250] : DEBUG -> Tam_entrada: 100000| T_execução: 0.20782041549682617 | Chamado pela 12 vez | Arquivo:O
