18348 - [2024-04-12 11:42:07,528] : DEBUG -> Running quicksort algorithm on .\input\A_100.txt - Time 11, | Type:A
18348 - [2024-04-12 11:42:07,625] : DEBUG -> Running quicksort algorithm on .\input\A_100.txt - Time 12, | Type:A
18348 - [2024-04-12 11:42:07,719] : DEBUG -> Running quicksort algorithm on .\input\A_1000.txt - Time 0, | Type:A
18348 - [2024-04-12 11:42:07,823] : DEBUG -> Running quicksort algorithm on .\input\A_1000.txt - Time 1, | Type:A
18348 - [2024-04-12 11:42:07,921] : DEBUG -> Running quicksort algorithm on .\input\A_1000.txt - Time 2, | Type:A
18348 - [2024-04-12 11:42:08,018] : DEBUG -> Running quicksort algorithm on .\input\A_1000.txt - Time 3, | Type:A
18348 - [2024-04-12 11:42:08,133] : DEBUG -> Running quicksort algorithm on .\input\A_1000.txt - Time 4, | Type:A
18348 - [2024-04-12 11:42:08,241] : DEBUG -> Running quicksort algorithm on .\input\A_1000.txt - Time 5, | Type:A
18348 - [2024-04-12 11:42:08,341] : DEBUG -> Running quicksort algorithm on .\input\A_1000.txt - Time 6, | Type:A
18348 - [2024-04-12 11:42:08,440] : DEBUG -> Running quicksort algorithm on .\input\A_1000.txt - Time 7, | Type:A
18348 - [2024-04-12 11:42:08,534] : DEBUG -> Running quicksort algorithm on .\input\A_1000.txt - Time 8, | Type:A
18348 - [2024-04-12 11:42:08,630] : DEBUG -> Running quicksort algorithm on .\input\A_1000.txt - Time 9, | Type:A
18348 - [2024-04-12 11:42:08,726] : DEBUG -> Running quicksort algorithm on .\input\A_1000.txt - Time 10, | Type:A
18348 - [2024-04-12 11:42:08,821] : DEBUG -> Running quicksort algorithm on .\input\A_1000.txt - Time 11, | Type:A
18348 - [2024-04-12 11:42:08,924] : DEBUG -> Running quicksort algorithm on .\input\A_1000.txt - Time 12, | Type:A
18348 - [2024-04-12 11:42:09,030] : DEBUG -> Running quicksort algorithm on .\input\A_10000.txt - Time 0, | Type:A
18348 - [2024-04-12 11:42:09,177] : DEBUG -> Running quicksort algorithm on .\input\A_10000.txt - Time 1, | Type:A
18348 - [2024-04-12 11:42:09,304] : DEBUG -> Running quicksort algorithm on .\input\A_10000.txt - Time 2, | Type:A
18348 - [2024-04-12 11:42:09,430] : DEBUG -> Running quicksort algorithm on .\input\A_10000.txt - Time 3, | Type:A
18348 - [2024-04-12 11:42:09,575] : DEBUG -> Running quicksort algorithm on .\input\A_10000.txt - Time 4, | Type:A
18348 - [2024-04-12 11:42:09,706] : DEBUG -> Running quicksort algorithm on .\input\A_10000.txt - Time 5, | Type:A
18348 - [2024-04-12 11:42:09,839] : DEBUG -> Running quicksort algorithm on .\input\A_10000.txt - Time 6, | Type:A
18348 - [2024-04-12 11:42:09,978] : DEBUG -> Running quicksort algorithm on .\input\A_10000.txt - Time 7, | Type:A
18348 - [2024-04-12 11:42:10,114] : DEBUG -> Running quicksort algorithm on .\input\A_10000.txt - Time 8, | Type:A
18348 - [2024-04-12 11:42:10,240] : DEBUG -> Running quicksort algorithm on .\input\A_10000.txt - Time 9, | Type:A
18348 - [2024-04-12 11:42:10,371] : DEBUG -> Running quicksort algorithm on .\input\A_10000.txt - Time 10, | Type:A
18348 - [2024-04-12 11:42:10,499] : DEBUG -> Running quicksort algorithm on .\input\A_10000.txt - Time 11, | Type:A
18348 - [2024-04-12 11:42:10,626] : DEBUG -> Running quicksort algorithm on .\input\A_10000.txt - Time 12, | Type:A
18348 - [2024-04-12 11:42:10,748] : DEBUG -> Running quicksort algorithm on .\input\A_100000.txt - Time 0, | Type:A
18348 - [2024-04-12 11:42:11,292] : DEBUG -> Running quicksort algorithm on .\input\A_100000.txt - Time 1, | Type:A
18348 - [2024-04-12 11:42:11,798] : DEBUG -> Running quicksort algorithm on .\input\A_100000.txt - Time 2, | Type:A
18348 - [2024-04-12 11:42:12,264] : DEBUG -> Running quicksort algorithm on .\input\A_100000.txt - Time 3, | Type:A
18348 - [2024-04-12 11:42:12,747] : DEBUG -> Running quicksort algorithm on .\input\A_100000.txt - Time 4, | Type:A
18348 - [2024-04-12 11:42:13,293] : DEBUG -> Running quicksort algorithm on .\input\A_100000.txt - Time 5, | Type:A
18348 - [2024-04-12 11:42:13,789] : DEBUG -> Running quicksort algorithm on .\input\A_100000.txt - Time 6, | Type:A
18348 - [2024-04-12 11:42:14,268] : DEBUG -> Running quicksort algorithm on .\input\A_100000.txt - Time 7, | Type:A
18348 - [2024-04-12 11:42:14,770] : DEBUG -> Running quicksort algorithm on .\input\A_100000.txt - Time 8, | Type:A
18348 - [2024-04-12 11:42:15,281] : DEBUG -> Running quicksort algorithm on .\input\A_100000.txt - Time 9, | Type:A
18348 - [2024-04-12 11:42:15,784] : DEBUG -> Running quicksort algorithm on .\input\A_100000.txt - Time 10, | Type:A
18348 - [2024-04-12 11:42:16,252] : DEBUG -> Running quicksort algorithm on .\input\A_100000.txt - Time 11, | Type:A
18348 - [2024-04-12 11:42:16,733] : DEBUG -> Running quicksort algorithm on .\input\A_100000.txt - Time 12, | Type:A
18348 - [2024-04-12 11:42:17,281] : DEBUG -> Running quicksort algorithm on .\input\D_100.txt - Time 0, | Type:D
18348 - [2024-04-12 11:42:17,377] : DEBUG -> Running quicksort algorithm on .\input\D_100.txt - Time 1, | Type:D
18348 - [2024-04-12 11:42:17,470] : DEBUG -> Running quicksort algorithm on .\input\D_100.txt - Time 2, | Type:D
18348 - [2024-04-12 11:42:17,565] : DEBUG -> Running quicksort algorithm on .\input\D_100.txt - Time 3, | Type:D
18348 - [2024-04-12 11:42:17,659] : DEBUG -> Running quicksort algorithm on .\input\D_100.txt - Time 4, | Type:D
18348 - [2024-04-12 11:42:17,783] : DEBUG -> Running quicksort algorithm on .\input\D_100.txt - Time 5, | Type:D
18348 - [2024-04-12 11:42:17,881] : DEBUG -> Running quicksort algorithm on .\input\D_100.txt - Time 6, | Type:D
18348 - [2024-04-12 11:42:17,976] : DEBUG -> Running quicksort algorithm on .\input\D_100.txt - Time 7, | Type:D
18348 - [2024-04-12 11:42:18,069] : DEBUG -> Running quicksort algorithm on .\input\D_100.txt - Time 8, | Type:D
18348 - [2024-04-12 11:42:18,166] : DEBUG -> Running quicksort algorithm on .\input\D_100.txt - Time 9, | Type:D
18348 - [2024-04-12 11:42:18,260] : DEBUG -> Running quicksort algorithm on .\input\D_100.txt - Time 10, | Type:D
18348 - [2024-04-12 11:42:18,355] : DEBUG -> Running quicksort algorithm on .\input\D_100.txt - Time 11, | Type:D
18348 - [2024-04-12 11:42:18,451] : DEBUG -> Running quicksort algorithm on .\input\D_100.txt - Time 12, | Type:D
18348 - [2024-04-12 11:42:18,548] : DEBUG -> Running quicksort algorithm on .\input\D_1000.txt - Time 0, | Type:D
