17772 - [2024-04-12 11:42:20,892] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01711583137512207 | Chamado pela 8 vez | Arquivo:D
14420 - [2024-04-12 11:42:21,043] : DEBUG -> Tam_entrada: 10000| T_execução: 0.033382415771484375 | Chamado pela 9 vez | Arquivo:D
4888 - [2024-04-12 11:42:21,168] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01914191246032715 | Chamado pela 10 vez | Arquivo:D
18092 - [2024-04-12 11:42:21,287] : DEBUG -> Tam_entrada: 10000| T_execução: 0.0175626277923584 | Chamado pela 11 vez | Arquivo:D
1520 - [2024-04-12 11:42:21,403] : DEBUG -> Tam_entrada: 10000| T_execução: 0.016694307327270508 | Chamado pela 12 vez | Arquivo:D
18184 - [2024-04-12 11:42:21,770] : DEBUG -> Tam_entrada: 100000| T_execução: 0.24025797843933105 | Chamado pela 0 vez | Arquivo:D
18160 - [2024-04-12 11:42:22,161] : DEBUG -> Tam_entrada: 100000| T_execução: 0.25478386878967285 | Chamado pela 1 vez | Arquivo:D
9020 - [2024-04-12 11:42:22,511] : DEBUG -> Tam_entrada: 100000| T_execução: 0.21952342987060547 | Chamado pela 2 vez | Arquivo:D
16264 - [2024-04-12 11:42:22,925] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2819480895996094 | Chamado pela 3 vez | Arquivo:D
8660 - [2024-04-12 11:42:23,361] : DEBUG -> Tam_entrada: 100000| T_execução: 0.25783514976501465 | Chamado pela 4 vez | Arquivo:D
18388 - [2024-04-12 11:42:23,740] : DEBUG -> Tam_entrada: 100000| T_execução: 0.24978899955749512 | Chamado pela 5 vez | Arquivo:D
17480 - [2024-04-12 11:42:24,102] : DEBUG -> Tam_entrada: 100000| T_execução: 0.22922253608703613 | Chamado pela 6 vez | Arquivo:D
888 - [2024-04-12 11:42:24,466] : DEBUG -> Tam_entrada: 100000| T_execução: 0.23513340950012207 | Chamado pela 7 vez | Arquivo:D
15736 - [2024-04-12 11:42:24,814] : DEBUG -> Tam_entrada: 100000| T_execução: 0.22275161743164062 | Chamado pela 8 vez | Arquivo:D
4628 - [2024-04-12 11:42:25,215] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2624962329864502 | Chamado pela 9 vez | Arquivo:D
17536 - [2024-04-12 11:42:25,595] : DEBUG -> Tam_entrada: 100000| T_execução: 0.23264670372009277 | Chamado pela 10 vez | Arquivo:D
1168 - [2024-04-12 11:42:25,959] : DEBUG -> Tam_entrada: 100000| T_execução: 0.23315143585205078 | Chamado pela 11 vez | Arquivo:D
18344 - [2024-04-12 11:42:26,316] : DEBUG -> Tam_entrada: 100000| T_execução: 0.22954344749450684 | Chamado pela 12 vez | Arquivo:D
7972 - [2024-04-12 11:42:26,413] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 0 vez | Arquivo:O
16408 - [2024-04-12 11:42:26,505] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 1 vez | Arquivo:O
17688 - [2024-04-12 11:42:26,599] : DEBUG -> Tam_entrada: 100| T_execução: 0.0009675025939941406 | Chamado pela 2 vez | Arquivo:O
16584 - [2024-04-12 11:42:26,696] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 3 vez | Arquivo:O
17684 - [2024-04-12 11:42:26,791] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 4 vez | Arquivo:O
17608 - [2024-04-12 11:42:26,884] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 5 vez | Arquivo:O
15068 - [2024-04-12 11:42:26,983] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 6 vez | Arquivo:O
5124 - [2024-04-12 11:42:27,085] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 7 vez | Arquivo:O
7856 - [2024-04-12 11:42:27,192] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 8 vez | Arquivo:O
15760 - [2024-04-12 11:42:27,302] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 9 vez | Arquivo:O
14844 - [2024-04-12 11:42:27,400] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 10 vez | Arquivo:O
15900 - [2024-04-12 11:42:27,495] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 11 vez | Arquivo:O
13188 - [2024-04-12 11:42:27,590] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 12 vez | Arquivo:O
1384 - [2024-04-12 11:42:27,688] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0020227432250976562 | Chamado pela 0 vez | Arquivo:O
17892 - [2024-04-12 11:42:27,783] : DEBUG -> Tam_entrada: 1000| T_execução: 0.00099945068359375 | Chamado pela 1 vez | Arquivo:O
17904 - [2024-04-12 11:42:27,882] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0015037059783935547 | Chamado pela 2 vez | Arquivo:O
17972 - [2024-04-12 11:42:27,980] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009975433349609375 | Chamado pela 3 vez | Arquivo:O
4620 - [2024-04-12 11:42:28,099] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009667873382568359 | Chamado pela 4 vez | Arquivo:O
4544 - [2024-04-12 11:42:28,205] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009975433349609375 | Chamado pela 5 vez | Arquivo:O
17980 - [2024-04-12 11:42:28,304] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009975433349609375 | Chamado pela 6 vez | Arquivo:O
2680 - [2024-04-12 11:42:28,397] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009970664978027344 | Chamado pela 7 vez | Arquivo:O
656 - [2024-04-12 11:42:28,493] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009975433349609375 | Chamado pela 8 vez | Arquivo:O
7356 - [2024-04-12 11:42:28,589] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0010256767272949219 | Chamado pela 9 vez | Arquivo:O
10812 - [2024-04-12 11:42:28,686] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001993894577026367 | Chamado pela 10 vez | Arquivo:O
2132 - [2024-04-12 11:42:28,782] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0005075931549072266 | Chamado pela 11 vez | Arquivo:O
9864 - [2024-04-12 11:42:28,880] : DEBUG -> Tam_entrada: 1000| T_execução: 0.000997304916381836 | Chamado pela 12 vez | Arquivo:O
5192 - [2024-04-12 11:42:29,001] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01906561851501465 | Chamado pela 0 vez | Arquivo:O
18260 - [2024-04-12 11:42:29,125] : DEBUG -> Tam_entrada: 10000| T_execução: 0.016376018524169922 | Chamado pela 1 vez | Arquivo:O
5712 - [2024-04-12 11:42:29,253] : DEBUG -> Tam_entrada: 10000| T_execução: 0.0180208683013916 | Chamado pela 2 vez | Arquivo:O
2480 - [2024-04-12 11:42:29,380] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01817917823791504 | Chamado pela 3 vez | Arquivo:O
11352 - [2024-04-12 11:42:29,500] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01856827735900879 | Chamado pela 4 vez | Arquivo:O
8276 - [2024-04-12 11:42:29,617] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01799154281616211 | Chamado pela 5 vez | Arquivo:O
18428 - [2024-04-12 11:42:29,735] : DEBUG -> Tam_entrada: 10000| T_execução: 0.016017436981201172 | Chamado pela 6 vez | Arquivo:O
12468 - [2024-04-12 11:42:29,853] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01620626449584961 | Chamado pela 7 vez | Arquivo:O
18372 - [2024-04-12 11:42:29,967] : DEBUG -> Tam_entrada: 10000| T_execução: 0.019353389739990234 | Chamado pela 8 vez | Arquivo:O
17952 - [2024-04-12 11:42:30,085] : DEBUG -> Tam_entrada: 10000| T_execução: 0.019486665725708008 | Chamado pela 9 vez | Arquivo:O
888 - [2024-04-12 11:42:30,203] : DEBUG -> Tam_entrada: 10000| T_execução: 0.019028902053833008 | Chamado pela 10 vez | Arquivo:O
15736 - [2024-04-12 11:42:30,317] : DEBUG -> Tam_entrada: 10000| T_execução: 0.015643835067749023 | Chamado pela 11 vez | Arquivo:O
16344 - [2024-04-12 11:42:30,432] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02162957191467285 | Chamado pela 12 vez | Arquivo:O
18288 - [2024-04-12 11:42:30,783] : DEBUG -> Tam_entrada: 100000| T_execução: 0.21854758262634277 | Chamado pela 0 vez | Arquivo:O
2376 - [2024-04-12 11:42:31,169] : DEBUG -> Tam_entrada: 100000| T_execução: 0.253861665725708 | Chamado pela 1 vez | Arquivo:O
2564 - [2024-04-12 11:42:31,537] : DEBUG -> Tam_entrada: 100000| T_execução: 0.22666382789611816 | Chamado pela 2 vez | Arquivo:O
14740 - [2024-04-12 11:42:31,915] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2510221004486084 | Chamado pela 3 vez | Arquivo:O
17796 - [2024-04-12 11:42:32,274] : DEBUG -> Tam_entrada: 100000| T_execução: 0.23117804527282715 | Chamado pela 4 vez | Arquivo:O
14312 - [2024-04-12 11:42:32,632] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2288651466369629 | Chamado pela 5 vez | Arquivo:O
1812 - [2024-04-12 11:42:32,977] : DEBUG -> Tam_entrada: 100000| T_execução: 0.21541452407836914 | Chamado pela 6 vez | Arquivo:O
9872 - [2024-04-12 11:42:33,344] : DEBUG -> Tam_entrada: 100000| T_execução: 0.23206353187561035 | Chamado pela 7 vez | Arquivo:O
17164 - [2024-04-12 11:42:33,702] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2250809669494629 | Chamado pela 8 vez | Arquivo:O
16924 - [2024-04-12 11:42:34,078] : DEBUG -> Tam_entrada: 100000| T_execução: 0.24811983108520508 | Chamado pela 9 vez | Arquivo:O
17096 - [2024-04-12 11:42:34,447] : DEBUG -> Tam_entrada: 100000| T_execução: 0.24201440811157227 | Chamado pela 10 vez | Arquivo:O
16756 - [2024-04-12 11:42:34,797] : DEBUG -> Tam_entrada: 100000| T_execução: 0.21571683883666992 | Chamado pela 11 vez | Arquivo:O
5880 - [2024-04-12 11:42:35,158] : DEBUG -> Tam_entrada: 100000| T_execução: 0.23139357566833496 | Chamado pela 12 vez | Arquivo:O
